"time (UTC)","airtemp_avg (degC)","qc_airtemp_avg","baro_pressure (hPa)","qc_baro_pressure","rh (%)","qc_rh","rain (in)","qc_rain","winddir (deg from)","qc_winddir","windspeed_avg (m/s)","qc_windspeed_avg","windspeed_max (m/s)","qc_windspeed_max","land par_avg (μmol of photons m-2 s-1)","qc_par_avg","underwater lower_par (μmol of photons m-2 s-1)","qc_lower_par","underwater upper_par (μmol of photons m-2 s-1)","qc_upper_par","co2_avg (ppm)","qc_co2_avg","h2o_avg (mmol/mol)","qc_h2o_avg"
"2025-07-02 08:25:00.000","11.899999618530273","0","1013.0700073242188","0","84.9000015258789","0","0.0","0","137.6999969482422","0","0.39399999380111694","0","1.100000023841858","0","0.0","0","37.560001373291016","0","0.0","0","425.3999938964844","0","11.029999732971191","0"
"2025-07-02 08:30:00.000","11.970000267028809","0","1013.0800170898438","0","84.5","0","0.0","0","181.89999389648438","0","0.6959999799728394","0","1.4989999532699585","0","0.0","0","23.059999465942383","0","0.0","0","424.20001220703125","0","10.949999809265137","0"
"2025-07-02 08:35:00.000","11.979999542236328","0","1013.0999755859375","0","84.19999694824219","0","0.0","0","174.6999969482422","0","0.7310000061988831","0","1.565999984741211","0","0.0","0","10.779999732971191","0","0.0","0","425.29998779296875","0","10.90999984741211","0"
"2025-07-02 08:40:00.000","11.989999771118164","0","1013.0999755859375","0","83.9000015258789","0","0.0","0","197.6999969482422","0","0.6100000143051147","0","1.0","0","0.0","0","38.56999969482422","0","0.0","0","426.1000061035156","0","10.859999656677246","0"
"2025-07-02 08:45:00.000","11.979999542236328","0","1013.10302734375","0","84.0","0","0.0","0","200.6999969482422","0","0.3970000147819519","0","0.9330000281333923","0","0.0","0","14.9399995803833","0","0.0","0","431.0","0","10.930000305175781","0"
"2025-07-02 08:50:00.000","12.09000015258789","0","1013.2000122070312","0","84.9000015258789","0","0.0","0","171.6999969482422","0","1.128000020980835","0","2.3989999294281006","0","0.0","0","26.1200008392334","0","0.0","0","425.20001220703125","0","11.180000305175781","0"
"2025-07-02 08:55:00.000","12.229999542236328","0","1013.2100219726562","0","84.9000015258789","0","0.0","0","190.89999389648438","0","0.9980000257492065","0","1.8990000486373901","0","0.0","0","14.640000343322754","0","0.0","0","424.3999938964844","0","11.270000457763672","0"
"2025-07-02 09:00:00.000","12.3100004196167","0","1013.2369995117188","0","84.80000305175781","0","0.0","0","177.1999969482422","0","1.3020000457763672","0","1.9989999532699585","0","0.0","0","27.520000457763672","0","0.0","0","423.0","0","11.350000381469727","0"
"2025-07-02 09:05:00.000","12.300000190734863","0","1013.2999877929688","0","85.0999984741211","0","0.0","0","187.6999969482422","0","1.343000054359436","0","2.131999969482422","0","0.0","0","26.049999237060547","0","0.0","0","423.3999938964844","0","11.380000114440918","0"
"2025-07-02 09:10:00.000","12.390000343322754","0","1013.364990234375","0","85.0999984741211","0","0.0","0","184.10000610351562","0","1.4429999589920044","0","2.365999937057495","0","0.0","0","9.710000038146973","0","0.0","0","423.79998779296875","0","11.460000038146973","0"
"2025-07-02 09:15:00.000","12.390000343322754","0","1013.4000244140625","0","85.0","0","0.0","0","197.3000030517578","0","1.281000018119812","0","1.8990000486373901","0","0.0","0","96.69999694824219","0","0.0","0","424.20001220703125","0","11.470000267028809","0"
"2025-07-02 09:20:00.000","12.449999809265137","0","1013.47998046875","0","85.5","0","0.0","0","203.3000030517578","0","1.0169999599456787","0","2.0329999923706055","0","0.0","0","60.45000076293945","0","0.0","0","425.20001220703125","0","11.529999732971191","0"
"2025-07-02 09:25:00.000","12.520000457763672","0","1013.4500122070312","0","85.80000305175781","0","0.0","0","190.3000030517578","0","1.187000036239624","0","2.0329999923706055","0","0.0","0","40.709999084472656","0","0.0","0","428.0","0","11.640000343322754","0"
"2025-07-02 09:30:00.000","12.710000038146973","0","1013.4000244140625","0","85.69999694824219","0","0.0","0","188.60000610351562","0","1.7589999437332153","0","2.5989999771118164","0","0.0","0","15.6899995803833","0","0.0","0","427.6000061035156","0","11.829999923706055","0"
"2025-07-02 09:35:00.000","12.779999732971191","0","1013.3729858398438","0","85.0","0","0.0","0","190.89999389648438","0","1.4160000085830688","0","2.065999984741211","0","0.0","0","42.47999954223633","0","0.0","0","427.1000061035156","0","11.729999542236328","0"
"2025-07-02 09:40:00.000","12.710000038146973","0","1013.4000244140625","0","85.0999984741211","0","0.0","0","214.60000610351562","0","0.6299999952316284","0","1.2000000476837158","0","0.0","0","74.58000183105469","0","0.0","0","428.1000061035156","0","11.65999984741211","0"
"2025-07-02 09:45:00.000","12.800000190734863","0","1013.4000244140625","0","84.5999984741211","0","0.0","0","190.3000030517578","0","0.5899999737739563","0","2.2320001125335693","0","0.0","0","15.930000305175781","0","0.0","0","427.8999938964844","0","11.630000114440918","0"
"2025-07-02 09:50:00.000","12.720000267028809","0","1013.4000244140625","0","84.4000015258789","0","0.0","0","279.0","0","0.5360000133514404","0","3.3320000171661377","0","0.0","0","74.79000091552734","0","0.0","0","430.29998779296875","0","11.550000190734863","0"
"2025-07-02 09:55:00.000","12.630000114440918","0","1013.4000244140625","0","84.30000305175781","0","0.0","0","291.20001220703125","0","1.3309999704360962","0","3.1989998817443848","0","0.0","0","28.34000015258789","0","0.0","0","428.1000061035156","0","11.4399995803833","0"
"2025-07-02 10:00:00.000","12.600000381469727","0","1013.4000244140625","0","83.9000015258789","0","0.0","0","296.0","0","1.0729999542236328","0","2.4660000801086426","0","0.0","0","8.109999656677246","0","0.0","0","430.0","0","11.270000457763672","0"
"2025-07-02 10:05:00.000","12.600000381469727","0","1013.4769897460938","0","82.9000015258789","0","0.0","0","305.29998779296875","0","1.2000000476837158","0","2.2320001125335693","0","0.0","0","41.5099983215332","0","0.0","0","437.29998779296875","0","11.359999656677246","0"
"2025-07-02 10:10:00.000","12.029999732971191","0","1013.5","0","84.5999984741211","0","0.0","0","323.0","0","0.8659999966621399","0","1.5989999771118164","0","0.0","0","36.81999969482422","0","0.0","0","452.20001220703125","0","11.170000076293945","0"
