time_pst,qc_pco2_water,qc_pco2_air,p_co2_in_water_ppm,p_co2_in_air_ppm
2024-02-07T06:00:00Z,0,0,494.4452,443.43192
2024-02-07T09:00:00Z,0,0,479.26532,444.26535
2024-02-07T12:00:00Z,0,0,470.15314,445.03036
2024-02-07T15:00:00Z,0,0,507.41187,451.01776
2024-02-07T18:00:00Z,0,0,530.8897,428.70572
2024-02-07T21:00:00Z,0,0,501.44275,435.15863
2024-02-09T00:00:00Z,0,0,530.4024,428.44278
2024-02-09T03:00:00Z,0,0,538.43567,437.97104
2024-02-09T06:00:00Z,0,0,564.26294,441.8876
2024-02-09T09:00:00Z,0,0,598.42694,439.20987
2024-02-09T12:00:00Z,0,0,578.9031,438.5424
2024-02-09T15:00:00Z,0,0,559.9062,442.79376
2024-02-09T18:00:00Z,0,0,555.5872,433.7769
2024-02-09T21:00:00Z,0,0,513.7735,432.63287
2024-02-10T00:00:00Z,0,0,523.09760000000006,431.39072
2024-02-10T03:00:00Z,0,0,602.1737,444.2995
2024-02-10T06:00:00Z,0,0,583.2098,443.65207
2024-02-10T09:00:00Z,0,0,611.4831,443.59412
2024-02-10T12:00:00Z,0,0,619.1395,448.0907
2024-02-10T15:00:00Z,0,0,601.3519,472.79913
2024-02-10T18:00:00Z,0,0,585.4317,435.2936
2024-02-10T21:00:00Z,0,0,634.4093,430.40964
2024-02-11T00:00:00Z,0,0,559.3081,431.74536
2024-02-11T03:00:00Z,0,0,574.11224,439.5779
2024-02-11T06:00:00Z,0,0,628.01215,460.4524
2024-02-11T09:00:00Z,0,0,630.493,448.70807
2024-02-11T12:00:00Z,0,0,647.0102,446.3519
2024-02-11T15:00:00Z,0,0,587.93695,464.66223
2024-02-11T18:00:00Z,0,0,613.98773,439.689
2024-02-11T21:00:00Z,0,0,663.57764,440.0648
2024-02-12T00:00:00Z,0,0,596.6607,438.2226
2024-02-12T03:00:00Z,0,0,601.6311,447.33017
2024-02-12T06:00:00Z,0,0,637.74207,455.68936
2024-02-12T09:00:00Z,0,0,673.9571,460.05573
2024-02-12T12:00:00Z,0,0,657.3847,440.64124
2024-02-12T15:00:00Z,0,0,626.00934,431.48743
2024-02-12T18:00:00Z,0,0,608.88153,430.37122
2024-02-12T21:00:00Z,0,0,649.5295,429.93173
2024-02-13T00:00:00Z,0,0,651.3595,431.4822
2024-02-13T03:00:00Z,0,0,647.34705,437.46017
2024-02-13T06:00:00Z,0,0,654.7166,438.55692
2024-02-13T09:00:00Z,0,0,670.0118,474.779
2024-02-13T12:00:00Z,0,0,668.95917,457.20087
2024-02-13T15:00:00Z,0,0,648.15076,464.55933
2024-02-13T18:00:00Z,0,0,621.04346,431.08102
2024-02-13T21:00:00Z,0,0,637.6282,434.09296
2024-02-14T00:00:00Z,0,0,654.76117,431.71277
2024-02-14T03:00:00Z,0,0,670.88727,444.281
2024-02-14T06:00:00Z,0,0,673.8641,443.0716
2024-02-14T09:00:00Z,0,0,658.7184,441.8131
2024-02-14T12:00:00Z,0,0,688.3374,455.7705
2024-02-14T15:00:00Z,0,0,669.55524,444.72882
2024-02-14T18:00:00Z,0,0,658.3448,433.48413
2024-02-14T21:00:00Z,0,0,641.8047,430.05963
2024-02-15T00:00:00Z,0,0,653.1685,428.90274
2024-02-15T03:00:00Z,0,0,683.3295,442.87772
2024-02-15T06:00:00Z,0,0,662.17206,431.74728
2024-02-15T09:00:00Z,0,0,668.7195,430.9993
2024-02-15T12:00:00Z,0,0,687.27576,432.97858
2024-02-15T15:00:00Z,0,0,686.3567,433.3783
2024-02-15T18:00:00Z,0,0,630.3655,433.41623
2024-02-15T21:00:00Z,0,0,618.16486,428.79892
2024-02-16T00:00:00Z,0,0,670.4609,431.20963
2024-02-16T03:00:00Z,0,0,684.13226,436.98535
2024-02-16T06:00:00Z,0,0,703.2272,443.82947
2024-02-16T09:00:00Z,0,0,628.9736,442.6848
2024-02-16T12:00:00Z,0,0,677.5833,443.36932
2024-02-16T15:00:00Z,0,0,682.46533,437.2657
2024-02-16T18:00:00Z,0,0,624.98987,431.50446
2024-02-16T21:00:00Z,0,0,611.4996,428.13995
2024-02-17T00:00:00Z,0,0,618.5248,427.85312
2024-02-17T03:00:00Z,0,0,669.408,429.23465
2024-02-17T06:00:00Z,0,0,694.97015,431.57294
2024-02-17T09:00:00Z,0,0,689.80493,429.64017
2024-02-17T12:00:00Z,0,0,629.55066,429.45276
2024-02-17T15:00:00Z,0,0,687.43176,430.57416
2024-02-17T18:00:00Z,0,0,646.4265,427.75604
2024-02-17T21:00:00Z,0,0,634.0958,426.71808
2024-02-18T00:00:00Z,0,0,644.71155,426.6288
2024-02-18T03:00:00Z,0,0,683.4509,444.64517
2024-02-18T06:00:00Z,0,0,707.7514,450.9019
2024-02-18T09:00:00Z,0,0,692.3547,461.54776
2024-02-18T12:00:00Z,0,0,663.456,447.78003
2024-02-18T15:00:00Z,0,0,689.8771,470.62726
2024-02-18T18:00:00Z,0,0,651.7555,440.79407
2024-02-18T21:00:00Z,0,0,631.9063,436.34808
2024-02-19T00:00:00Z,0,0,647.9769,433.21362
2024-02-19T03:00:00Z,0,0,655.61066,432.6267
2024-02-19T06:00:00Z,0,0,712.6352,445.09607
2024-02-19T09:00:00Z,0,0,699.79565,442.56967
2024-02-19T12:00:00Z,0,0,662.49884,470.345
2024-02-19T15:00:00Z,0,0,665.552,468.2307
2024-02-19T18:00:00Z,0,0,665.2638,437.01447
2024-02-19T21:00:00Z,0,0,635.5991,435.34238
2024-02-20T00:00:00Z,0,0,647.9351,437.0476
2024-02-20T03:00:00Z,0,0,683.6941,443.79517
2024-02-20T06:00:00Z,0,0,702.3028,450.07086
2024-02-20T09:00:00Z,0,0,684.1219,449.83484
2024-02-20T12:00:00Z,0,0,672.2012,451.82507
2024-02-20T15:00:00Z,0,0,673.074,451.7526
2024-02-20T18:00:00Z,0,0,673.72015,439.6283
2024-02-20T21:00:00Z,0,0,652.32947,436.00345
2024-02-21T00:00:00Z,0,0,625.62445,436.54654
2024-02-21T03:00:00Z,0,0,666.92456,445.89917
2024-02-21T06:00:00Z,0,0,694.0618,455.13806
2024-02-21T09:00:00Z,0,0,710.33984,452.1876
2024-02-21T12:00:00Z,0,0,693.55756,448.2129
2024-02-21T15:00:00Z,0,0,669.57367,457.56027
2024-02-21T18:00:00Z,0,0,675.5017,437.3957
2024-02-21T21:00:00Z,0,0,662.6712,435.53915
2024-02-22T00:00:00Z,0,0,604.44794,548.12
2024-02-22T03:00:00Z,0,0,658.2678,479.3138
2024-02-22T06:00:00Z,0,0,696.2722,452.70535
2024-02-22T09:00:00Z,0,0,706.3521,465.556
2024-02-22T12:00:00Z,0,0,687.95435,491.90134
2024-02-22T15:00:00Z,0,0,642.7191,488.82642
2024-02-22T18:00:00Z,0,0,652.8233,459.82675
2024-02-22T21:00:00Z,0,0,619.7095,435.9907
2024-02-23T00:00:00Z,0,0,587.29236,439.95413
2024-02-23T03:00:00Z,0,0,656.3937,466.1888
2024-02-23T06:00:00Z,0,0,683.1007,444.38727
2024-02-23T09:00:00Z,0,0,702.1634,448.1419
2024-02-23T12:00:00Z,0,0,686.1357,445.665
2024-02-23T15:00:00Z,0,0,615.91364,448.61032
2024-02-23T18:00:00Z,0,0,632.2655,511.19083
2024-02-23T21:00:00Z,0,0,583.2941,433.6969
2024-02-24T00:00:00Z,0,0,585.0238,432.83307
